"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Innova-Champion Discs","Stingray","180.1","21.7","1.8","1.1","19.3","1.2","5.1","38.25","9.10","","","","87-08","Jan 1, 1987"
"Innova-Champion Discs","Aviar Putter","176.0","21.2","2.0","1.5","19.4","0.9","7.1","55.75","4.59","","","","87-04","Jan 1, 1987"
"Lightning Discs","Falcon","178.5","21.5","2.4","1.3","18.9","1.3","6.0","41.00","8.16","","","","87-10","Jan 1, 1987"
"Innova-Champion Discs","Roc","180.1","21.7","2.0","1.3","19.3","1.2","6.0","43.00","8.51","","","","87-05","Jan 1, 1987"
"Wham-O / DTW","91 Mold","176.0","21.2","2.1","1.2","19.4","0.9","5.7","38.25","10.00","","","","87-01","Jan 1, 1987"
"Discraft","Phantom Light","177.6","21.4","2.0","1.1","19.2","1.1","5.1","50.25","8.62","","","","87-03","Jan 1, 1987"
"Discraft","Cruiser","177.6","21.4","1.8","1.2","18.1","1.7","5.6","34.50","8.62","","","","87-07","Jan 1, 1987"
"Innova-Champion Discs","Hammer","180.1","21.7","2.1","1.1","19.3","1.2","5.1","36.75","9.96","","","","87-06","Jan 1, 1987"
"Disc Golf Association (DGA)","Gumbputt","180.1","21.7","2.2","1.9","20.2","0.7","8.8","86.75","2.72","Vintage Class","145.4","","86-04","Jan 1, 1986"
"Lightning Discs","Thunderbolt","177.6","21.4","2.3","1.2","19.4","1.0","5.6","41.75","2.72","","","","86-03","Jan 1, 1986"
"Disc Golf Association (DGA)","Powerdrive","178.5","21.5","2.6","1.2","18.9","1.3","5.6","38.00","6.12","","","","86-06","Jan 1, 1986"
"Innova-Champion Discs","Classic Ace","176.0","21.2","2.2","1.1","19.4","0.9","5.2","50.50","8.85","","","","86-02","Jan 1, 1986"
"Discraft","Phantom+","177.6","21.4","2.2","1.1","19.4","1.0","5.1","47.75","10.21","","","","86-01","Jan 1, 1986"
"Disc Golf Association (DGA)","Putterdrive","176.0","21.2","2.4","1.4","19.1","1.3","6.6","34.75","4.20","","","","86-05","Jan 1, 1986"
"Innova-Champion Discs","Coupe","176.0","21.2","2.0","1.3","19.4","0.9","6.1","50.00","8.16","","","","85-01","Jan 1, 1985"
"Innova-Champion Discs","Aviar","176.0","21.2","2.0","1.5","19.4","0.9","7.1","55.75","11.34","","","","84-01","Jan 1, 1984"
"Disc Golf Association (DGA)","Softtouch (smaller)","174.3","21.0","2.6","1.4","19.5","0.8","6.7","63.75","9.10","","","","84-06","Jan 1, 1984"
"Disc Golf Association (DGA)","Softtouch (larger)","195.1","23.5","2.9","1.7","22.9","0.3","7.2","77.00","","","","","84-10","Jan 1, 1984"
"Wham-O / DTW","86 Mold","175.1","21.1","2.6","1.4","19.1","1.0","6.6","30.25","4.50","","","","84-03","Jan 1, 1984"
"Innova-Champion Discs","Aviar XD","176.0","21.2","2.1","1.1","19.4","0.9","5.2","52.50","9.10","","","","84-08","Jan 1, 1984"
"Lightning Discs","P-38 Lightning","178.5","21.5","2.1","1.1","18.9","1.3","5.1","40.00","6.40","","","","84-09","Jan 1, 1984"
"Disc Golf Association (DGA)","Streamliner","180.1","21.7","2.1","1.7","19.2","1.3","7.8","40.00","","","","","84-07","Jan 1, 1984"
"Disc Golf Association (DGA)","Driver","174.3","21.0","2.9","1.5","19.6","0.6","7.1","86.25","7.60","Vintage Class","140.7","","84-04","Jan 1, 1984"
"Disc Golf Association (DGA)","Power Putter","190.9","23.0","2.8","1.6","20.8","1.2","7.0","47.25","11.57","","","","84-11","Jan 1, 1984"
"Innova-Champion Discs","Aero","180.1","21.7","2.5","1.3","19.6","1.0","6.0","43.75","8.16","","","","83-03","Jun 1, 1983"
"Innova-Champion Discs","Eagle (old)","180.1","21.7","2.5","1.3","19.6","1.0","6.0","43.75","8.16","","","","83-05","Apr 1, 1983"
"Disc Golf Association (DGA)","Kitty Hawk Softouch","195.1","23.5","3.0","1.6","22.9","0.3","6.8","85.25","4.43","","","","83-04","Jan 1, 1983"
"Discraft","Phantom","177.6","21.4","2.2","1.1","19.4","1.0","5.1","47.75","10.21","","","","83-02","Jan 1, 1983"
"Discraft","Sky Streak","186.8","22.5","2.5","1.6","21.0","0.8","7.1","82.00","9.07","Vintage Class","150.8","","83-01","Jan 1, 1983"
"Disc Golf Association (DGA)","Hooker","174.3","21.0","2.5","1.4","19.5","0.7","6.7","74.75","8.85","","","","82-02","Jan 1, 1982"
"Disc Golf Association (DGA)","Kitty Hawk","174.3","21.0","2.6","1.4","19.5","0.7","6.7","74.00","4.43","","","","82-01","Jan 1, 1982"
"Disc Golf Association (DGA)","Kitty Hawk Driver","174.3","21.0","2.6","1.4","19.5","0.7","6.7","74.00","4.43","","","","82-05","Jan 1, 1982"
"Disc Golf Association (DGA)","Kitty Hawk Putter","174.3","21.0","2.6","1.4","19.5","0.7","6.7","74.00","4.43","","","","82-04","Jan 1, 1982"
"Wham-O / DTW","90 Mold","200.0","27.0","3.1","1.8","25.9","0.5","6.7","94.75","2.95","Super Class & Vintage Class","180.9","","82-10","Jan 1, 1982"
"Disc Golf Association (DGA)","Kitty Hawk Softouch Sureshot","193.4","23.3","2.7","1.6","22.7","0.3","6.9","81.50","4.43","","","","82-11","Jan 1, 1982"
"Disc Golf Association (DGA)","Sureshot","174.3","21.0","2.6","1.4","19.5","0.8","6.7","63.75","9.10","","","","82-03","Jan 1, 1982"
"Disc Golf Association (DGA)","Fader","174.3","21.0","2.6","1.4","19.5","0.7","6.7","74.00","4.43","","","","82-06","Jan 1, 1982"
"Disc Golf Association (DGA)","Fader 3","174.3","21.0","2.6","1.4","19.5","0.7","6.7","74.00","4.43","","","","82-08","Jan 1, 1982"
"Disc Golf Association (DGA)","Putter","174.3","21.0","2.6","1.4","19.5","0.8","6.7","63.75","9.10","","","","82-12","Jan 1, 1982"
"Disc Golf Association (DGA)","Fader II","174.3","21.0","2.6","1.4","19.5","0.7","6.7","74.00","4.43","","","","82-07","Jan 1, 1982"
"Discraft","Ultra-Star","200.0","27.3","3.2","2.0","25.8","0.7","7.3","88.25","7.14","Super Class & Vintage Class","182.9","","81-02","Jan 1, 1981"
"Discraft","Sky-Star","200.0","24.1","2.5","1.6","23.0","0.5","6.6","89.00","4.08","Super Class & Vintage Class","161.5","","81-01","Jan 1, 1981"
"Disc Golf Association (DGA)","Midnight Flyer (70C, 71C & 71C* molds)","186.8","22.5","3.0","1.7","21.3","0.6","7.6","87.50","9.50","Vintage Class","150.8","","80-08","Jan 1, 1980"
"Destiny/Dynamic Discs","Puppy","174.3","21.0","2.5","1.8","19.8","0.6","8.6","75.00","7.60","Vintage Class","140.7","","80-01","Jan 1, 1980"
"Destiny/Dynamic Discs","Super Puppy","174.3","21.0","2.5","1.8","19.8","0.6","8.6","75.00","7.60","Vintage Class","140.7","","80-02","Jan 1, 1980"
"Disc Golf Association (DGA)","Midnight Flyer (FB 6, FB 19 & FB 20 molds)","196.7","23.7","2.8","1.7","22.4","0.6","7.2","79.50","2.49","Super Class & Vintage Class","158.8","","80-05","Jan 1, 1980"
"Discraft","Sky-Styler","200.0","26.7","3.8","2.1","25.6","0.6","7.9","109.25","4.88","Super Class & Vintage Class","178.9","","80-07","Jan 1, 1980"
"Disc Golf Association (DGA)","Midnight Flyer (80, 80C & 80E molds)","200.0","26.9","3.1","1.9","25.7","0.6","7.1","94.75","4.76","Super Class & Vintage Class","180.2","","80-05","Jan 5, 1979"
"Wham-O / DTW","133g Night Lighter","200.0","24.9","2.8","1.8","23.7","0.6","7.2","97.25","5.00","Super Class & Vintage Class","166.8","","79-02","Jan 1, 1979"
"Destiny/Dynamic Discs","Floater","200.0","27.5","3.6","2.0","26.3","0.6","7.3","106.50","4.88","Super Class & Vintage Class","184.3","","79-01","Jan 1, 1979"
"Discraft","Sky Pro","200.0","24.1","2.5","1.6","23.0","0.5","6.6","89.00","4.08","Super Class & Vintage Class","161.5","","79-03","Jan 1, 1979"
"Wham-O / DTW","Olympic/Collegiate (100, 100A, 100D, 100E & 100AD molds)","200.0","24.9","2.8","1.8","23.7","0.6","7.2","97.25","5.00","Super Class & Vintage Class","166.8","","79-04","Jan 1, 1979"
"Disc Golf Association (DGA)","Midnight Flyer (100, 100A, 100AD, 100D, 100E, 100AD & 100E molds)","200.0","24.9","2.8","1.8","23.7","0.6","7.2","97.25","5.00","Super Class & Vintage Class","166.8","","78-04","Jan 1, 1978"
"Disc Golf Association (DGA)","Midnight Flyer (40, 40A, 40G, 40G*, 41, 41F, 41G, 42AF, 42AG, 42BF & 42BG molds)","195.1","23.5","2.6","1.7","22.3","0.6","7.2","95.25","6.80","Vintage Class","157.5","","78-02","Jan 1, 1978"
"Disc Golf Association (DGA)","Midnight Flyer (50, 50E & 50G molds)","200.0","25.9","2.8","1.8","24.7","0.6","6.9","101.50","4.50","Super Class & Vintage Class","173.5","","78-03","Jan 1, 1978"
"Wham-O / DTW","97g (70, 70C, 71 & 71C* molds)","186.8","22.5","3.0","1.7","21.3","0.6","7.6","87.50","9.50","Vintage Class","150.8","","78-06","Jan 1, 1978"
"Wham-O / DTW","97g (71 Mold)","186.8","22.5","3.0","1.7","21.3","0.6","7.6","87.50","9.50","Vintage Class","150.8","","78-07","Jan 1, 1978"
"Disc Golf Association (DGA)","Night Flyer (40 mold)","195.1","23.5","2.6","1.7","22.3","0.6","7.2","95.25","6.80","Vintage Class","157.5","","78-01","Jan 1, 1978"
"Wham-O / DTW","141g (50, 50E, 50G, 51, 52AE, 52BE, 52AG, 52BG & Farusa 5 molds)","200.0","25.9","2.8","1.8","24.7","0.6","6.9","101.50","4.50","Super Class & Vintage Class","173.5","","74-02","Jan 1, 1974"
"Wham-O / DTW","165g (80, 81, 81C, 81E, 82E & 900 molds & High Rigidity)","200.0","26.9","3.1","1.9","25.7","0.6","7.1","94.75","4.76","Super Class & Vintage Class","180.2","","74-03","Jan 1, 1974"
"Wham-O / DTW","119g (40, 40G, 40G*, 41, 41 F, 41G, 42AF, 42AG, 42BF, 42BG & 40F molds)","195.1","23.5","2.6","1.7","22.3","0.6","7.2","95.25","6.80","Vintage Class","157.5","","74-01","Jan 1, 1974"
"Wham-O / DTW","Super Pro (no #, 50, 60, 61, 61N, 61B, 62, 62N, 63A P, 63B P & 63 P molds)","200.0","25.5","2.8","1.8","24.3","0.6","7.1","86.00","2.38","Super Class & Vintage Class","170.9","","73-01","Jan 1, 1973"
"Wham-O / DTW","Fastback (all molds)","196.7","23.7","2.8","1.7","22.4","0.6","7.2","79.50","2.49","Super Class & Vintage Class","158.8","","71-01","Jan 1, 1971"
"Wham-O / DTW","Master","200.0","27.5","3.2","1.8","26.0","0.7","6.5","83.75","4.08","Super Class & Vintage Class","184.3","","67-01","Jan 1, 1967"
"Wham-O / DTW","Professional (1, 4, 10, 14, 15, 16, 17, 20, 20 A, 21, 23A, 23B, 24A, 24B & Pro Classic molds)","198.4","23.9","3.0","1.7","22.7","0.6","7.1","89.00","3.18","Super Class & Vintage Class","160.1","","64-01","Jan 1, 1964"
